company_name,company_linkedin_tag,domain,industry,company_type,size_bucket,employees_on_linkedin,founded_year,hq_city,hq_state,hq_country,segment
Oklahoma Heart Hospital,https://www.linkedin.com/company/oklahoma-heart-hospital,okheart.com,Hospitals and Health Care,Privately Held,1001-5000,1333,2002,Oklahoma City,Oklahoma,US,Sensor Bio - Clinical & Health Systems
Hospital Municipal Albert Schweitzer,https://www.linkedin.com/company/hospitalalbertschweitzer,instagram.com,Hospitals,Government Agency,1001-5000,318,1982,-,-,US,Sensor Bio - Clinical & Health Systems
Saisystems Health,https://www.linkedin.com/company/saisyshealth,saisystems.com,Hospitals and Health Care,Privately Held,201-500,305,1987,Shelton,Connecticut,US,Sensor Bio - Clinical & Health Systems
"Grace Management, Inc.",https://www.linkedin.com/company/grace-managment,gracemanagement.com,Hospitals and Health Care,Privately Held,1001-5000,456,1984,Maple Grove,Minnesota,US,Sensor Bio - Clinical & Health Systems
Proactive MD,https://www.linkedin.com/company/proactive-md,proactive-md.com,Hospitals and Health Care,Privately Held,1001-5000,263,2016,Greenville,South Carolina,US,Sensor Bio - Clinical & Health Systems
Southern New Hampshire Health,https://www.linkedin.com/company/southern-nh-health,snhhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1413,1891,Nashua,New Hampshire,US,Sensor Bio - Clinical & Health Systems
AvaSure,https://www.linkedin.com/company/avasurellc,avasure.com,Hospitals and Health Care,Privately Held,201-500,239,2008,Belmont,Michigan,US,Sensor Bio - Clinical & Health Systems
Research Medical Center,https://www.linkedin.com/company/research-medical-center,researchmedicalcenter.com,Hospitals and Health Care,Public Company,1001-5000,1233,-,Kansas City,Missouri,US,Sensor Bio - Clinical & Health Systems
"Signature Performance, Inc.",https://www.linkedin.com/company/signature-performance-inc,signatureperformance.com,Hospitals and Health Care,Privately Held,1001-5000,778,2004,Omaha,Nebraska,US,Sensor Bio - Clinical & Health Systems
Women & Infants Hospital,https://www.linkedin.com/company/women-and-infants-hospital,womenandinfants.org,Hospitals and Health Care,Nonprofit,1001-5000,1522,1884,Providence,Rhode Island,US,Sensor Bio - Clinical & Health Systems
Covenant HealthCare,https://www.linkedin.com/company/covenant-healthcare,covenanthealthcare.com,Hospitals and Health Care,Nonprofit,1001-5000,2193,1998,Saginaw,Michigan,US,Sensor Bio - Clinical & Health Systems
Docent (now Get Well),https://www.linkedin.com/company/docent-health,getwellnetwork.com,Hospitals and Health Care,Privately Held,201-500,7,-,Bethesda,Maryland,US,Sensor Bio - Clinical & Health Systems
Kadlec,https://www.linkedin.com/company/kadlec,kadlec.org,Hospitals and Health Care,Nonprofit,1001-5000,1823,-,Richland,Washington,US,Sensor Bio - Clinical & Health Systems
Southcentral Foundation,https://www.linkedin.com/company/southcentral-foundation,southcentralfoundation.com,Hospitals and Health Care,Nonprofit,1001-5000,1439,1982,Anchorage,Alaska,US,Sensor Bio - Clinical & Health Systems
Forrest Health,https://www.linkedin.com/company/forrest-health-mississippi,forresthealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1863,1952,Hattiesburg,Mississippi,US,Sensor Bio - Clinical & Health Systems
Onduo by Verily,https://www.linkedin.com/company/onduo,verily.com,Hospitals and Health Care,Privately Held,1001-5000,25,2016,Newton,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Sturdy Health,https://www.linkedin.com/company/sturdyhealth,sturdyhealth.org,Hospitals and Health Care,Nonprofit,1001-5000,1156,1913,Attleboro,Massachusetts,US,Sensor Bio - Clinical & Health Systems
MedPartners,https://www.linkedin.com/company/medpartners,medpartners.com,Hospitals and Health Care,Public Company,1001-5000,371,2002,Tampa,Florida,US,Sensor Bio - Clinical & Health Systems
Hebrew SeniorLife,https://www.linkedin.com/company/hebrew-seniorlife,hebrewseniorlife.org,Hospitals and Health Care,Nonprofit,1001-5000,1040,1903,Roslindale,Massachusetts,US,Sensor Bio - Clinical & Health Systems
Tadawi Medical Group,https://www.linkedin.com/company/tadawi-medical,tadawigroup.com,Hospitals and Health Care,Privately Held,1001-5000,102,2017,-,-,US,Sensor Bio - Clinical & Health Systems
Nuvia Dental Implant Center,https://www.linkedin.com/company/nuvia-dental-implant-centers,nuviasmiles.com,Hospitals and Health Care,Privately Held,1001-5000,838,2020,Cottonwood Heights,Utah,US,Sensor Bio - Clinical & Health Systems
Pomona Valley Hospital Medical Center,https://www.linkedin.com/company/pomona-valley-hospital-medical-center,pvhmc.org,Hospitals and Health Care,Nonprofit,1001-5000,1910,1903,Pomona,California,US,Sensor Bio - Clinical & Health Systems
Icario,https://www.linkedin.com/company/icario,icariohealth.com,Hospitals and Health Care,Privately Held,201-500,184,-,Minneapolis,Minnesota,US,Sensor Bio - Clinical & Health Systems
"Centauri Health Solutions, Inc",https://www.linkedin.com/company/centauri-health-solutions,centaurihs.com,Hospitals and Health Care,Privately Held,1001-5000,956,2014,Tempe,Arizona,US,Sensor Bio - Clinical & Health Systems
Lafayette General Health,https://www.linkedin.com/company/lafayette-general-health,inforcloudsuite.com,Hospitals and Health Care,Nonprofit,1001-5000,944,-,Lafayette,Louisiana,US,Sensor Bio - Clinical & Health Systems
NeoDocto Inc,https://www.linkedin.com/company/neodocto,neodocto.com,Hospitals and Health Care,Partnership,1001-5000,482,2016,Manhattan,New York,US,Sensor Bio - Clinical & Health Systems
Brookdale University Hospital and Medical Center,https://www.linkedin.com/company/brookdale-university-hospital-and-medical-center,brookdalehospital.org,Hospitals and Health Care,Nonprofit,1001-5000,1518,1921,Brooklyn,New York,US,Sensor Bio - Clinical & Health Systems
Alpine Physician Partners,https://www.linkedin.com/company/alpine-physician-partners,alpine-physicians.com,Hospitals and Health Care,Privately Held,501-1000,108,2021,Los Angeles,California,US,Sensor Bio - Clinical & Health Systems
Prime Physicians,https://www.linkedin.com/company/prime-physicians,primephysicians.com,Hospitals and Health Care,Privately Held,201-500,136,2014,Dakota Dunes,South Dakota,US,Sensor Bio - Clinical & Health Systems
