name,domain,linkedin_url,industry,type,size,followers,founded_year,hq_city,hq_state,hq_country,website
KNAPP North America,knapp.com,https://www.linkedin.com/company/knapp-north-america,Automation Machinery Manufacturing,Privately Held,5001-10000,24255,1952,Kennesaw,Georgia,United States,https://www.knapp.us
Winergy,winergy-group.com,https://www.linkedin.com/company/winergygroup,Machinery Manufacturing,Public Company,1001-5000,24130,1981,Voerde,,Germany,https://www.winergy-group.com
Groninger & Co. Gmbh,groninger-group.com,https://www.linkedin.com/company/groninger-group,Machinery Manufacturing,Self-Owned,1001-5000,24072,1980,Crailsheim,,Germany,https://www.groninger-group.com
Kovalus Separation Solutions,kovalus.com,https://www.linkedin.com/company/kovalus-separation-solutions,Industrial Machinery Manufacturing,Privately Held,501-1000,23845,1963,Wilmington,Massachusetts,United States,https://www.kovalus.com
SunSource,sun-source.com,https://www.linkedin.com/company/sunsource,Industrial Machinery Manufacturing,Privately Held,1001-5000,23751,,Addison,Illinois,United States,https://www.sun-source.com
nVent HOFFMAN,nvent.com,https://www.linkedin.com/company/nvent-hoffman-global,Automation Machinery Manufacturing,Privately Held,10001+,23523,,Anoka,Minnesota,United States,https://hoffman.nvent.com
Putzmeister Group,putzmeister.com,https://www.linkedin.com/company/putzmeister-group,Machinery Manufacturing,Public Company,1001-5000,23395,1958,Aich,Baden-Wurttemberg,Germany,https://www.putzmeister.com
Alta Equipment Company,altaequipment.com,https://www.linkedin.com/company/altaequipmentcompany,Machinery Manufacturing,Public Company,1001-5000,23332,,Livonia,Michigan,United States,https://www.altaequipment.com
Lemken,lemken.com,https://www.linkedin.com/company/lemken,Machinery Manufacturing,Privately Held,1001-5000,23291,1780,Alpen,,Germany,https://lemken.com
Isra Vision,isravision.com,https://www.linkedin.com/company/isra-vision,Automation Machinery Manufacturing,Public Company,501-1000,23248,,Darmstadt,,Germany,https://www.isravision.com
Superior Industries Inc,superior-ind.com,https://www.linkedin.com/company/superiorindustries,Machinery Manufacturing,Privately Held,1001-5000,23185,1972,Morris,Minnesota,United States,https://www.superior-ind.com
Cleaver-Brooks,cleaverbrooks.com,https://www.linkedin.com/company/cleaver-brooks,Industrial Machinery Manufacturing,Privately Held,1001-5000,23097,,Thomasville,Georgia,United States,https://cleaverbrooks.com
Weir Flow Control,global.weir,https://www.linkedin.com/company/weir-power-&-industrial,Industrial Machinery Manufacturing,Public Company,1001-5000,23018,,Glasgow,Scotland,United Kingdom,https://www.global.weir
Xometry EMEA & APAC,xometry.eu,https://www.linkedin.com/company/xometry-europe,Industrial Machinery Manufacturing,Privately Held,501-1000,23044,,Hohenbrunn,Bavaria,Germany,https://xometry.eu
Leavitt Machinery,leavittmachinery.com,https://www.linkedin.com/company/leavitt-machinery,Machinery Manufacturing,Privately Held,501-1000,22468,2001,Langley,British Columbia,Canada,https://www.leavittmachinery.com
